Company [code+name],Year,Booking date (order),Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-28 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"17,24",1136945,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-11-10 00:00:00,097424,FOFO - ACTION PISCINE SERVICES,14,POOL SPECIALIST-Retailers,"151,10",1137956,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-04-19 00:00:00,100007,L'EAU COST PISCINE - TROYES,14,POOL SPECIALIST-Retailers,"81,20",9130748,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-22 00:00:00,102187,MILER - TROYES,42,HVAC/CONSTRUCT.-Whosale&Retail,"1317,89",1586208,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-28 00:00:00,103814,FRANS BONHOMME (TROYES),42,HVAC/CONSTRUCT.-Whosale&Retail,"146,86",1582637,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-04-11 00:00:00,103815,FRANS BONHOMME ROMILLY SUR SEINE,42,HVAC/CONSTRUCT.-Whosale&Retail,"272,74",1582913,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-08 00:00:00,103815,FRANS BONHOMME ROMILLY SUR SEINE,42,HVAC/CONSTRUCT.-Whosale&Retail,"68,39",1586903,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-29 00:00:00,103815,FRANS BONHOMME ROMILLY SUR SEINE,42,HVAC/CONSTRUCT.-Whosale&Retail,"275,08",1587730,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-28 00:00:00,104748,LEMOUR EMMANUEL,14,POOL SPECIALIST-Retailers,"512,40",9128632,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-22 00:00:00,107768,PISCINES & ARROSAGE DUMONT - CARRE BLEU,14,POOL SPECIALIST-Retailers,"846,45",9129607,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-12-12 00:00:00,110017,SARL DOLPHIES PISCINES,15,POOL SPECIALIST-Instal/Builder,"554,46",7607613,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-17 00:00:00,110206,27 (SARL),28,NPOOL SPECIALIS-Craftsman/Plum,"171,77",7600847,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-05 00:00:00,110206,27 (SARL),28,NPOOL SPECIALIS-Craftsman/Plum,"501,31",7602371,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-03 00:00:00,110206,27 (SARL),28,NPOOL SPECIALIS-Craftsman/Plum,"389,94",7604009,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-03 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"761,89",7594301,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-10 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"1328,00",7594534,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-17 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"56,76",7594836,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-08 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"124,79",7595506,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-17 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"750,13",7595896,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-23 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"178,50",7596123,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-03 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"976,04",7598025,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-11 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"2776,86",7598657,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-19 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"873,18",7599267,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-28 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"1258,66",7599875,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-03 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"1357,20",7600338,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-04 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"116,73",7600355,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-16 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"490,78",7601142,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-17 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"2183,48",7601173,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-21 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"289,49",7601414,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-01 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"788,64",7602215,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-08 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"714,48",7602641,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-21 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"777,40",7603386,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-22 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"752,48",7604717,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-10 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"2190,64",7605349,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-21 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"527,28",7605710,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-07 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"1148,07",7606155,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-10-18 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"482,45",7606446,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-11-04 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"680,10",7606914,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-12-02 00:00:00,110209,UNION PISCINES NARBONNE - EAU SHOP,14,POOL SPECIALIST-Retailers,"1305,72",7607617,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-06 00:00:00,110590,SARL HARMONIE PISCINES,14,POOL SPECIALIST-Retailers,"515,80",7598288,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-12 00:00:00,110590,SARL HARMONIE PISCINES,14,POOL SPECIALIST-Retailers,"306,31",7605406,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2021-10-04 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"210,41",7590993,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-19 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"7843,66",7593675,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-25 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"1200,22",7593963,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-25 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"605,05",7593981,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-31 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"1131,86",7594151,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-10 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"905,73",7594550,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-20 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"805,06",7601309,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-29 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"4098,24",7601985,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-29 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"961,38",7602044,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-02 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"3061,14",7602225,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-03 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"1438,36",7604116,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-06 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"505,39",7604232,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-08 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"628,87",7604288,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-08-19 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"1149,35",7604680,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-16 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"861,59",7605614,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-21 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"554,45",7605719,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-09-29 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"719,94",7605935,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-11-03 00:00:00,111210,UNION PISCINES CARCASSONNE - FUSION,14,POOL SPECIALIST-Retailers,"729,51",7606905,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-06-29 00:00:00,112733,WATER WORLD,14,POOL SPECIALIST-Retailers,"656,77",7601968,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-07 00:00:00,112733,WATER WORLD,14,POOL SPECIALIST-Retailers,"2210,29",7602522,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-01-10 00:00:00,113017,OPLUS PISCINES - IBIZA,14,POOL SPECIALIST-Retailers,"660,00",7593423,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-02-09 00:00:00,113017,OPLUS PISCINES - IBIZA,14,POOL SPECIALIST-Retailers,"93,90",7594490,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-03-11 00:00:00,113017,OPLUS PISCINES - IBIZA,14,POOL SPECIALIST-Retailers,"11,55",7595683,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-05-19 00:00:00,113017,OPLUS PISCINES - IBIZA,14,POOL SPECIALIST-Retailers,"579,07",7599228,25
050- FLUIDRA COMMERCIAL FRANCE SAS,2022,2022-07-12 00:00:00,113017,OPLUS PISCINES - IBIZA,14,POOL SPECIALIST-Retailers,"155,15",7602843,25
