Company [code+name],Year,Booking date (order),Customer code,Customer name,Segment code (customer),Segment name (customer),Global CoFX Amount (net),Sales order number,Order origin
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-08 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1454,33",0552025,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-10 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"964,07",0552437,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-14 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1315,46",0553030,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-28 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"208,28",0555820,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-05 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"546,95",0557381,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-12 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1153,39",0558767,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-28 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"178,26",0561565,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-28 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"424,26",0561782,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-23 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"62,59",0565593,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-29 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1816,08",0566364,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-22 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"312,42",0569740,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-29 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"332,19",0570516,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-14 00:00:00,0127,AQUEOUS POOLS,15,POOL SPECIALIST-Instal/Builder,"1030,16",0572653,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-23 00:00:00,0130,AQUASCAPES LTD,15,POOL SPECIALIST-Instal/Builder,"5031,23",0537919,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-11 00:00:00,0130,AQUASCAPES LTD,15,POOL SPECIALIST-Instal/Builder,"22,53",0541106,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-01 00:00:00,0130,AQUASCAPES LTD,15,POOL SPECIALIST-Instal/Builder,"243,73",0556525,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-07 00:00:00,0131,AQUASCAPE SWIMMING POOL LTD,15,POOL SPECIALIST-Instal/Builder,"95,48",0571682,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-11-22 00:00:00,0131,AQUASCAPE SWIMMING POOL LTD,15,POOL SPECIALIST-Instal/Builder,"51,66",0577416,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-06-21 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"397,94",0554607,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-03 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"417,65",0562617,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-11 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"849,14",0564094,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-18 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"2322,00",0565030,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-30 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"427,27",0566539,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-11-21 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"1108,01",0577163,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-28 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"-89,23",DR32855,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-07-05 00:00:00,0159,THREE COUNTIES POOLS & SPAS LTD,15,POOL SPECIALIST-Instal/Builder,"-3667,99",DR33332,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-08-10 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"1286,48",0563707,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-07 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"2833,58",0567769,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-14 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"2951,57",0568713,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-09-28 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"1894,94",0570388,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-12 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"1748,18",0572283,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-19 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"1080,76",0573152,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-26 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"2013,69",0574017,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-11-02 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"1883,24",0574876,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-11-09 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"1000,90",0575808,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-11-22 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"2018,36",0577465,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-11-30 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"727,74",0578390,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-12-07 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"1596,91",0579218,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-12-14 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"503,37",0580058,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-10-26 00:00:00,0167,ASHER SWIMPOOL CENTRE LTD,15,POOL SPECIALIST-Instal/Builder,"14,48",HAZARDOUS,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-04 00:00:00,0168,INTO THE BLUE LTD,15,POOL SPECIALIST-Instal/Builder,"527,96",0534656,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-10 00:00:00,0168,INTO THE BLUE LTD,15,POOL SPECIALIST-Instal/Builder,"86,41",0535609,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-10 00:00:00,0168,INTO THE BLUE LTD,15,POOL SPECIALIST-Instal/Builder,"1498,81",0535726,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-03-21 00:00:00,0168,INTO THE BLUE LTD,15,POOL SPECIALIST-Instal/Builder,"111,30",0537166,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-01 00:00:00,0168,INTO THE BLUE LTD,15,POOL SPECIALIST-Instal/Builder,"2382,55",0539562,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-06 00:00:00,0168,INTO THE BLUE LTD,15,POOL SPECIALIST-Instal/Builder,"1447,57",0540497,25
141- CERTIKIN INTERNATIONAL LIMITED,2022,2022-04-08 00:00:00,0168,INTO THE BLUE LTD,15,POOL SPECIALIST-Instal/Builder,"1091,75",0541056,25
